Date,Open,High,Low,Close,Volume,OpenInt
1977-10-05,0.45549,0.45549,0.45549,0.45549,4397375,0
1977-10-06,0.45549,0.4593,0.45549,0.45549,3561369,0
1977-10-07,0.45549,0.4593,0.45168,0.45549,2474567,0
1977-10-10,0.45549,0.45549,0.45168,0.45168,1872638,0
1977-10-11,0.45168,0.45549,0.45168,0.45168,2324089,0
1977-10-12,0.44788,0.44788,0.44788,0.44788,10767698,0
1977-10-13,0.44788,0.45168,0.44405,0.44788,6320177,0
1977-10-14,0.44788,0.44788,0.44021,0.44405,10115623,0
1977-10-17,0.44405,0.44405,0.44021,0.44021,3076491,0
1977-10-18,0.44021,0.44021,0.43254,0.43254,5751692,0
1977-10-19,0.42868,0.42868,0.42496,0.42496,6788334,0
1977-10-20,0.42496,0.42868,0.42106,0.42868,2641766,0
1977-10-21,0.42868,0.42868,0.42496,0.42868,3344009,0
1977-10-24,0.42868,0.42868,0.41729,0.41729,3527929,0
1977-10-25,0.41729,0.42496,0.4133,0.42496,4363926,0
1977-10-26,0.42496,0.43254,0.41729,0.42106,6604413,0
1977-10-27,0.42496,0.42868,0.42496,0.42868,3243685,0
1977-10-28,0.42868,0.43254,0.42868,0.42868,2959451,0
1977-10-31,0.42868,0.43254,0.42106,0.42106,5016008,0
1977-11-01,0.42106,0.42106,0.42106,0.42106,3427601,0
1977-11-02,0.42106,0.42106,0.41729,0.42106,7340103,0
1977-11-03,0.42106,0.42496,0.41729,0.41729,2290644,0
1977-11-04,0.41729,0.42496,0.41729,0.41729,3795445,0
1977-11-07,0.42106,0.42496,0.42106,0.42496,2424399,0
1977-11-08,0.42868,0.43629,0.42868,0.43254,4029532,0
1977-11-09,0.43254,0.43254,0.42868,0.43254,4280330,0
1977-11-10,0.43254,0.44405,0.43254,0.44405,6554252,0
1977-11-11,0.44788,0.44788,0.44788,0.44788,4230165,0
1977-11-14,0.44788,0.45168,0.44405,0.44788,4698332,0
1977-11-15,0.44788,0.45549,0.44405,0.45549,6537536,0
1977-11-16,0.45549,0.45549,0.45168,0.45168,4965848,0
1977-11-17,0.45168,0.45549,0.45168,0.45549,6504097,0
1977-11-18,0.45549,0.45549,0.45168,0.45168,3979367,0
1977-11-21,0.45168,0.45549,0.45168,0.45168,2926003,0
1977-11-22,0.45168,0.45549,0.45168,0.45549,4547849,0
1977-11-23,0.45549,0.4593,0.43254,0.44021,19194598,0
1977-11-25,0.44021,0.44405,0.43629,0.44405,8778017,0
1977-11-28,0.44405,0.44405,0.44021,0.44021,6086089,0
1977-11-29,0.44021,0.44021,0.43629,0.43629,5199932,0
1977-11-30,0.43629,0.43629,0.42868,0.43629,9229463,0
1977-12-01,0.43629,0.44021,0.43629,0.43629,7005695,0
1977-12-02,0.43629,0.44021,0.43629,0.43629,3628251,0
1977-12-05,0.43629,0.43629,0.43629,0.43629,1671999,0
1977-12-06,0.43629,0.43629,0.42868,0.42868,4280330,0
1977-12-07,0.42868,0.43254,0.42496,0.42496,4397375,0
1977-12-08,0.42496,0.42868,0.42496,0.42496,2056561,0
1977-12-09,0.42496,0.43254,0.42496,0.42868,3611522,0
1977-12-12,0.43254,0.43629,0.43254,0.43254,2357531,0
1977-12-13,0.42868,0.42868,0.42868,0.42868,3126646,0
1977-12-14,0.42868,0.42868,0.42496,0.42868,3812165,0
1977-12-15,0.42868,0.42868,0.42868,0.42868,1772326,0
1977-12-16,0.42868,0.42868,0.42496,0.42496,4915689,0
1977-12-19,0.42496,0.42868,0.42496,0.42868,6771613,0
1977-12-20,0.42868,0.42868,0.42496,0.42868,3444327,0
1977-12-21,0.42868,0.43254,0.42868,0.42868,3711854,0
1977-12-22,0.43254,0.43629,0.43254,0.43629,2775520,0
1977-12-23,0.43629,0.44405,0.43629,0.44021,2223759,0
1977-12-27,0.44021,0.44405,0.44021,0.44021,2056561,0
1977-12-28,0.44021,0.44405,0.44021,0.44405,2374247,0
1977-12-29,0.44405,0.44788,0.44021,0.44405,2742086,0
1977-12-30,0.44405,0.44405,0.43629,0.43629,1538240,0
1978-01-03,0.43629,0.43629,0.43254,0.43254,1588403,0
1978-01-04,0.42868,0.42868,0.42106,0.42496,7156176,0
1978-01-05,0.42496,0.42868,0.42106,0.42106,2357531,0
1978-01-06,0.42106,0.42496,0.42106,0.42106,4865536,0
1978-01-09,0.42106,0.42496,0.42106,0.42106,4363926,0
1978-01-10,0.42106,0.42868,0.41729,0.41729,5484177,0
1978-01-11,0.41729,0.42106,0.4133,0.41729,2558161,0
1978-01-12,0.41729,0.41729,0.4133,0.41729,2273929,0
1978-01-13,0.41729,0.42106,0.4133,0.41729,1337603,0
1978-01-16,0.41729,0.41729,0.41729,0.41729,1070081,0
1978-01-17,0.41729,0.42106,0.41729,0.41729,4263606,0
1978-01-18,0.41729,0.42106,0.41729,0.42106,3945930,0
1978-01-19,0.42106,0.42106,0.41729,0.42106,3578088,0
1978-01-20,0.42106,0.42106,0.41729,0.41729,2508009,0
1978-01-23,0.41729,0.41729,0.4133,0.41729,1722164,0
1978-01-24,0.41729,0.41729,0.4133,0.4133,1956245,0
1978-01-25,0.4133,0.4133,0.40571,0.40571,4397375,0
1978-01-26,0.40571,0.40571,0.40571,0.40571,35847756,0
1978-01-27,0.40571,0.40571,0.40571,0.40571,5768413,0
1978-01-30,0.40571,0.40571,0.39048,0.39804,48488102,0
1978-01-31,0.39804,0.40196,0.39048,0.39804,15415876,0
1978-02-01,0.39804,0.39804,0.3943,0.39804,6504097,0
1978-02-02,0.39804,0.39804,0.3943,0.3943,7206327,0
1978-02-03,0.3943,0.3943,0.39048,0.39048,5484177,0
1978-02-06,0.39048,0.39048,0.38668,0.38668,2140168,0
1978-02-07,0.38668,0.39048,0.38668,0.39048,1855924,0
1978-02-08,0.39048,0.39804,0.39048,0.3943,3812165,0
